"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"ITA","QGDP","VOLIDX","IDX","Q","2010-Q3",103.652842058,
"ITA","QGDP","VOLIDX","IDX","Q","2010-Q4",104.18539251,
"ITA","QGDP","VOLIDX","IDX","Q","2011-Q1",104.704942729,
"ITA","QGDP","VOLIDX","IDX","Q","2011-Q2",104.79200563,
"ITA","QGDP","VOLIDX","IDX","Q","2011-Q3",104.257618714,
"ITA","QGDP","VOLIDX","IDX","Q","2011-Q4",103.223906849,
"ITA","QGDP","VOLIDX","IDX","Q","2012-Q1",102.055988115,
"ITA","QGDP","VOLIDX","IDX","Q","2012-Q2",101.370745331,
"ITA","QGDP","VOLIDX","IDX","Q","2012-Q3",100.855858765,
"ITA","QGDP","VOLIDX","IDX","Q","2012-Q4",100.112332407,
"ITA","QGDP","VOLIDX","IDX","Q","2013-Q1",99.090775036,
"ITA","QGDP","VOLIDX","IDX","Q","2013-Q2",99.166843316,
"ITA","QGDP","VOLIDX","IDX","Q","2013-Q3",99.388016431,
"ITA","QGDP","VOLIDX","IDX","Q","2013-Q4",99.20985524,
"ITA","QGDP","VOLIDX","IDX","Q","2014-Q1",99.304843934,
"ITA","QGDP","VOLIDX","IDX","Q","2014-Q2",99.30179927,
"ITA","QGDP","VOLIDX","IDX","Q","2014-Q3",99.464906287,
"ITA","QGDP","VOLIDX","IDX","Q","2014-Q4",99.132506268,
"ITA","QGDP","VOLIDX","IDX","Q","2015-Q1",99.419018846,
"ITA","QGDP","VOLIDX","IDX","Q","2015-Q2",99.797547946,
"ITA","QGDP","VOLIDX","IDX","Q","2015-Q3",100.006808208,
"ITA","QGDP","VOLIDX","IDX","Q","2015-Q4",100.492408003,
"ITA","QGDP","VOLIDX","IDX","Q","2016-Q1",100.843776764,
"ITA","QGDP","VOLIDX","IDX","Q","2016-Q2",101.040906696,
"ITA","QGDP","VOLIDX","IDX","Q","2016-Q3",101.579425657,
"ITA","QGDP","VOLIDX","IDX","Q","2016-Q4",101.959187121,
