"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"EU27_2020","QGDP","VOLIDX","IDX","Q","2003-Q1",86.390943818,
"EU27_2020","QGDP","VOLIDX","IDX","Q","2003-Q2",86.502628009,
"EU27_2020","QGDP","VOLIDX","IDX","Q","2003-Q3",87.06225406,
"EU27_2020","QGDP","VOLIDX","IDX","Q","2003-Q4",87.686282768,
"EU27_2020","QGDP","VOLIDX","IDX","Q","2004-Q1",88.236255223,
"EU27_2020","QGDP","VOLIDX","IDX","Q","2004-Q2",88.799188317,
"EU27_2020","QGDP","VOLIDX","IDX","Q","2004-Q3",89.074328133,
"EU27_2020","QGDP","VOLIDX","IDX","Q","2004-Q4",89.472292992,
"EU27_2020","QGDP","VOLIDX","IDX","Q","2005-Q1",89.677653475,
"EU27_2020","QGDP","VOLIDX","IDX","Q","2005-Q2",90.284563176,
"EU27_2020","QGDP","VOLIDX","IDX","Q","2005-Q3",91.023376198,
"EU27_2020","QGDP","VOLIDX","IDX","Q","2005-Q4",91.63981538,
"EU27_2020","QGDP","VOLIDX","IDX","Q","2006-Q1",92.494312843,
"EU27_2020","QGDP","VOLIDX","IDX","Q","2006-Q2",93.628631704,
"EU27_2020","QGDP","VOLIDX","IDX","Q","2006-Q3",94.248668543,
"EU27_2020","QGDP","VOLIDX","IDX","Q","2006-Q4",95.218811113,
"EU27_2020","QGDP","VOLIDX","IDX","Q","2007-Q1",95.922847922,
"EU27_2020","QGDP","VOLIDX","IDX","Q","2007-Q2",96.598844619,
"EU27_2020","QGDP","VOLIDX","IDX","Q","2007-Q3",97.097945333,
"EU27_2020","QGDP","VOLIDX","IDX","Q","2007-Q4",97.698766759,
"EU27_2020","QGDP","VOLIDX","IDX","Q","2008-Q1",98.226004528,
"EU27_2020","QGDP","VOLIDX","IDX","Q","2008-Q2",97.964824332,
"EU27_2020","QGDP","VOLIDX","IDX","Q","2008-Q3",97.524429666,
"EU27_2020","QGDP","VOLIDX","IDX","Q","2008-Q4",95.754699034,
"EU27_2020","QGDP","VOLIDX","IDX","Q","2009-Q1",92.93679253,
"EU27_2020","QGDP","VOLIDX","IDX","Q","2009-Q2",92.87881079,
"EU27_2020","QGDP","VOLIDX","IDX","Q","2009-Q3",93.261650765,
"EU27_2020","QGDP","VOLIDX","IDX","Q","2009-Q4",93.711929801,
"EU27_2020","QGDP","VOLIDX","IDX","Q","2010-Q1",94.049751399,
"EU27_2020","QGDP","VOLIDX","IDX","Q","2010-Q2",94.999990914,
"EU27_2020","QGDP","VOLIDX","IDX","Q","2010-Q3",95.455535666,
"EU27_2020","QGDP","VOLIDX","IDX","Q","2010-Q4",96.063676077,
"EU27_2020","QGDP","VOLIDX","IDX","Q","2011-Q1",96.897543633,
"EU27_2020","QGDP","VOLIDX","IDX","Q","2011-Q2",97.007597203,
"EU27_2020","QGDP","VOLIDX","IDX","Q","2011-Q3",97.195426649,
"EU27_2020","QGDP","VOLIDX","IDX","Q","2011-Q4",96.803092521,
"EU27_2020","QGDP","VOLIDX","IDX","Q","2012-Q1",96.662304931,
"EU27_2020","QGDP","VOLIDX","IDX","Q","2012-Q2",96.443542891,
"EU27_2020","QGDP","VOLIDX","IDX","Q","2012-Q3",96.318935638,
"EU27_2020","QGDP","VOLIDX","IDX","Q","2012-Q4",95.892269587,
"EU27_2020","QGDP","VOLIDX","IDX","Q","2013-Q1",95.650375583,
"EU27_2020","QGDP","VOLIDX","IDX","Q","2013-Q2",96.170051959,
"EU27_2020","QGDP","VOLIDX","IDX","Q","2013-Q3",96.511757607,
"EU27_2020","QGDP","VOLIDX","IDX","Q","2013-Q4",96.84442389,
"EU27_2020","QGDP","VOLIDX","IDX","Q","2014-Q1",97.266603682,
"EU27_2020","QGDP","VOLIDX","IDX","Q","2014-Q2",97.538695171,
"EU27_2020","QGDP","VOLIDX","IDX","Q","2014-Q3",98.073993541,
"EU27_2020","QGDP","VOLIDX","IDX","Q","2014-Q4",98.471705406,
"EU27_2020","QGDP","VOLIDX","IDX","Q","2015-Q1",99.195393067,
"EU27_2020","QGDP","VOLIDX","IDX","Q","2015-Q2",99.706258918,
"EU27_2020","QGDP","VOLIDX","IDX","Q","2015-Q3",100.17323752,
"EU27_2020","QGDP","VOLIDX","IDX","Q","2015-Q4",100.656974783,
"EU27_2020","QGDP","VOLIDX","IDX","Q","2016-Q1",101.204037218,
"EU27_2020","QGDP","VOLIDX","IDX","Q","2016-Q2",101.491427022,
"EU27_2020","QGDP","VOLIDX","IDX","Q","2016-Q3",101.991429218,
"EU27_2020","QGDP","VOLIDX","IDX","Q","2016-Q4",102.841735975,
